Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
101,065,SFD ATG,T,Seattle Fire (Fire-Tac) - Announcement Talkgroup,Fire-Tac,Seattle Fire
103,067,SFD 1,T,Seattle Fire (Fire-Tac) - Full Response (Structure Fires),Fire-Tac,Seattle Fire
105,069,SFD 2,T,Seattle Fire (Fire-Tac) - Fire Alarms/Incidents,Fire-Tac,Seattle Fire
107,06b,SFD 3 ,T,Seattle Fire (Fire-Tac) - Rescue Responses,Fire-Tac,Seattle Fire
109,06d,SFD 4,T,Seattle Fire (Fire Dispatch) - Fire Dispatch 4 (Seattle Fire),Fire Dispatch,Seattle Fire
111,06f,SFD Disp Alt,T,Seattle Fire (Fire Dispatch) - SFD Alternate Dispatch (Trucks to FAC),Fire Dispatch,Seattle Fire
113,071,SFD 6 ,T,Seattle Fire (Fire-Tac) - Aid/Medic Responses Primary,Fire-Tac,Seattle Fire
115,073,SFD Cmnd 11,T,Seattle Fire (Fire-Talk) - Ch 11 Fire Command Support,Fire-Talk,Seattle Fire
117,075,SFD Cmnd 12,T,Seattle Fire (Fire-Tac) - Ch 12 Fire Command Support,Fire-Tac,Seattle Fire
119,077,SFD MyDy Tac,T,Seattle Fire (Fire-Tac) - Fire Mayday Tactical,Fire-Tac,Seattle Fire
121,079,SFD RIT,T,Seattle Fire (Fire-Tac) - Fire Rapid Intervention Team,Fire-Tac,Seattle Fire
123,07b,SFD AMB,T,Seattle Fire (Fire-Tac) - Seattle Fire AMB,Fire-Tac,Seattle Fire
125,07d,SFD Medic 1,T,Seattle Fire (Fire-Tac) - Medic One Doctor,Fire-Tac,Seattle Fire
127,07f,SFD Trma Doc,T,Seattle Fire (EMS-Tac) - Trauma Doctor,EMS-Tac,Seattle Fire
131,083,SFD 7,T,Seattle Fire (Fire-Tac) - EMS Secondary,Fire-Tac,Seattle Fire
133,085,SFD Emerg,T,Seattle Fire (Fire-Tac) - Fire Emergency,Fire-Tac,Seattle Fire
137,089,SFD FAC,T,Seattle Fire (Fire-Talk) - Fire Alarm Center Administration,Fire-Talk,Seattle Fire
139,08b,SFD AIR,T,Seattle Fire (EMS-Tac) - Airlift Northwest,EMS-Tac,Seattle Fire
141,08d,SFD RMC/EOC,T,Seattle Fire (Emergency Ops) - EOC / Fire Coordination,Emergency Ops,Seattle Fire
143,08f,SFD Bat 2,T,Seattle Fire (Fire-Talk) - Battalion 2,Fire-Talk,Seattle Fire
145,091,SFD Bat 3,T,Seattle Fire (Fire-Talk) - Battalion 3,Fire-Talk,Seattle Fire
147,093,SFD Bat 4,T,Seattle Fire (Fire-Talk) - Battalion 4,Fire-Talk,Seattle Fire
149,095,SFD Bat 5,T,Seattle Fire (Fire-Talk) - Battalion 5,Fire-Talk,Seattle Fire
151,097,SFD Bat 6,T,Seattle Fire (Fire-Talk) - Battalion 6,Fire-Talk,Seattle Fire
153,099,SFD Bat 7,T,Seattle Fire (Fire-Talk) - Battalion 7,Fire-Talk,Seattle Fire
155,09b,SFD Ops,T,Seattle Fire (Fire-Tac) - Operations,Fire-Tac,Seattle Fire
157,09d,SFD Cmd 13,T,Seattle Fire (Fire-Talk) - Ch 13 Command Support,Fire-Talk,Seattle Fire
175,0af,SFD Memorial Ops,T,Seattle Fire (EMS-Tac) - Memorial Stadium EMS Operations,EMS-Tac,Seattle Fire
177,0b1,SFD T-Mobile Ops,T,Seattle Fire (Fire-Tac) - T-Mobile Stadium Operations,Fire-Tac,Seattle Fire
179,0b3,SFD Lumen,T,Seattle Fire (Fire-Tac) - Lumen Field Fire Control,Fire-Tac,Seattle Fire
181,0b5,SFD Climate,D,Seattle Fire (EMS-Tac) - Climate Pledge Arena EMS Operations,EMS-Tac,Seattle Fire
183,0b7,SFD T-Mobile EMS,T,Seattle Fire (EMS-Tac) - T-Mobile Stadium EMS Operations,EMS-Tac,Seattle Fire
185,0b9,SFD Fireguard,T,Seattle Fire (Fire-Tac) - Fireguard,Fire-Tac,Seattle Fire
187,0bb,SFD Trn 1,T,Seattle Fire (Fire-Talk) - Training 1,Fire-Talk,Seattle Fire
189,0bd,SFD FMO,T,Seattle Fire (Fire-Talk) - Fire Marshall Office,Fire-Talk,Seattle Fire
191,0bf,SFD Serv,T,Seattle Fire (Fire-Talk) - Fire Services,Fire-Talk,Seattle Fire
193,0c1,SFD Event 14,T,Seattle Fire (Fire-Talk) - Event 14,Fire-Talk,Seattle Fire
195,0c3,SFD Event 15,T,Seattle Fire (Fire-Talk) - Event 15,Fire-Talk,Seattle Fire
197,0c5,SDF FF EMERG,T,Seattle Fire (Fire-Tac) - Ch 14 Fire Fighter Emergency Activation,Fire-Tac,Seattle Fire
201,0c9,SPD ATG,T,Seattle Police (Law Tac) - Announcements,Law Tac,Seattle Police
203,0cb,SPD Disp. West,T,Seattle Police (Law Dispatch) - Dispatch West,Law Dispatch,Seattle Police
205,0cd,SPD Disp. North,T,Seattle Police (Law Dispatch) - Dispatch North,Law Dispatch,Seattle Police
207,0cf,SPD Disp South,T,Seattle Police (Law Dispatch) - Dispatch South,Law Dispatch,Seattle Police
209,0d1,SPD Disp East,T,Seattle Police (Law Dispatch) - Dispatch East,Law Dispatch,Seattle Police
213,0d5,SPD DATA,T,Seattle Police (Law Tac) - Wants & Warrants,Law Tac,Seattle Police
215,0d7,SPD Tac 1,T,Seattle Police (Law Tac) - Tactical 1,Law Tac,Seattle Police
217,0d9,SPD Tac 2,T,Seattle Police (Law Tac) - Tactical 2,Law Tac,Seattle Police
219,0db,SPD Tac 3,T,Seattle Police (Law Tac) - Tactical 3,Law Tac,Seattle Police
221,0dd,SPD Tac 4,T,Seattle Police (Law Tac) - Tactical 4,Law Tac,Seattle Police
223,0df,SPD Event 1,T,Seattle Police (Law Talk) - Event 1,Law Talk,Seattle Police
225,0e1,SPD Emerg,T,Seattle Police (Law Tac) - Emergency Button Talk Group,Law Tac,Seattle Police
227,0e3,SPD Tac E,T,Seattle Police (Law Tac) - Tactical East,Law Tac,Seattle Police
229,0e5,SPD Tac S,T,Seattle Police (Law Tac) - Tactical South,Law Tac,Seattle Police
231,0e7,SPD Tac N,T,Seattle Police (Law Tac) - Tactical North,Law Tac,Seattle Police
233,0e9,SPD Tac W,T,Seattle Police (Law Tac) - Tactical West,Law Tac,Seattle Police
235,0eb,SPD INV TAC1,T,Seattle Police (Law Tac) - Investigative Tactical 1,Law Tac,Seattle Police
237,0ed,SPD INV TAC2,T,Seattle Police (Law Tac) - Investigative Tactical 2,Law Tac,Seattle Police
239,0ef,SPD CTR 1,T,Seattle Police (Law Talk) - Center 1,Law Talk,Seattle Police
241,0f1,SPD CRT 2,T,Seattle Police (Law Talk) - Center 2,Law Talk,Seattle Police
243,0f3,SPD Cmnd 1,T,Seattle Police (Law Talk) - Command 1,Law Talk,Seattle Police
245,0f5,SPD Cmnd 2,T,Seattle Police (Law Talk) - Command 2,Law Talk,Seattle Police
247,0f7,SPD Cmnd 3,T,Seattle Police (Law Talk) - Command 3,Law Talk,Seattle Police
249,0f9,SPD Cmnd 4,T,Seattle Police (Law Talk) - Command 4,Law Talk,Seattle Police
251,0fb,SPD Cmnd 5,T,Seattle Police (Law Talk) - Command 5,Law Talk,Seattle Police
253,0fd,SPD Harbor,T,Seattle Police (Law Tac) - Harbor Patrol,Law Tac,Seattle Police
255,0ff,SPD ITS,T,Seattle Police (Law Tac) - Information Technology Support,Law Tac,Seattle Police
257,101,SPD Narc 2,T,Seattle Police (Law Tac) - Narcotics 2,Law Tac,Seattle Police
259,103,SPD Narc 3,T,Seattle Police (Law Tac) - Narcotics 3,Law Tac,Seattle Police
261,105,SPD NTF,T,Seattle Police (Law Talk) - Narcotics Task Force,Law Talk,Seattle Police
263,107,SPD VICE 1,T,Seattle Police (Law Talk) - Vice 1,Law Talk,Seattle Police
265,109,SPD VICE 2,T,Seattle Police (Law Talk) - Vice 2,Law Talk,Seattle Police
267,10b,SPD CIS 1,T,Seattle Police (Law Talk) - Criminal Investigation Services 1,Law Talk,Seattle Police
269,10d,SPD CIS 2,T,Seattle Police (Law Talk) - Criminal Investigation Services 2,Law Talk,Seattle Police
271,10f,SPD EM RESP1,T,Seattle Police (Law Talk) - Emergency Response Team 1,Law Talk,Seattle Police
273,111,SPD EM RESP2,T,Seattle Police (Law Talk) - Emergency Response Team 2,Law Talk,Seattle Police
275,113,SPD HOS N1,T,Seattle Police (Law Tac) - Hostage Negotiator 1,Law Tac,Seattle Police
277,115,SPD HOS N2,T,Seattle Police (Law Tac) - Hostage Negotiator 2,Law Tac,Seattle Police
279,117,SPD INTERNAL,T,Seattle Police (Law Tac) - Internal Investigation,Law Tac,Seattle Police
281,119,SPD Trng 1,T,Seattle Police (Law Tac) - Training 1,Law Tac,Seattle Police
283,11b,SPD Trng 2,T,Seattle Police (Law Tac) - Training 2,Law Tac,Seattle Police
285,11d,SPD Trng 3,T,Seattle Police (Law Tac) - Training 3,Law Tac,Seattle Police
287,11f,SPD Trng 4,T,Seattle Police (Law Tac) - Training 4,Law Tac,Seattle Police
289,121,SPD Trng 5,T,Seattle Police (Law Tac) - Training 5,Law Tac,Seattle Police
291,123,SPD Trng 6,T,Seattle Police (Law Tac) - Training 6,Law Tac,Seattle Police
299,12b,SPD Cmnd 6,T,Seattle Police (Law Talk) - Command 6,Law Talk,Seattle Police
303,12f,SEA CEN 1,T,Seattle (Business) - Seattle Center Channel 1,Business,Seattle
305,131,SEA CEN 2,T,Seattle (Business) - Seattle Center Channel 2,Business,Seattle
307,133,SEA CEN 3,T,Seattle (Business) - Seattle Center Channel 3,Business,Seattle
309,135,SEA CEN 4,T,Seattle (Business) - Seattle Center Channel 4,Business,Seattle
311,137,SEA CEN 5,T,Seattle (Business) - Seattle Center Channel 5,Business,Seattle
313,139,SEA CEN 6,T,Seattle (Business) - Seattle Center Channel 6,Business,Seattle
349,15d,Court Sec,T,Seattle Police (Law Tac) - Municipal Court Security ,Law Tac,Seattle Police
399,18f,Pub Utilities,T,Seattle (Public Works) - Public Utilities,Public Works,Seattle
403,193,Watershed,T,Seattle (Public Works) - Watershed,Public Works,Seattle
405,195,Water Sewer,T,Seattle (Public Works) - Water & Sewer,Public Works,Seattle
409,199,Water 4,T,Seattle (Public Works) - Water 4,Public Works,Seattle
443,1bb,Water Sewer,D,Seattle (Public Works) - Water Sewer,Public Works,Seattle
445,1bd,DOT Dispatch,D,Seattle (Transportation) - Department of Transportation Dispatch,Transportation,Seattle
449,1c1,Eng and Sanit,T,Seattle (Public Works) - Engineering - Sanitation,Public Works,Seattle
545,221,Sea Schl NW,T,Seattle Public Schools (Schools) - Schools NW,Schools,Seattle Public Schools
547,223,Sea Schl Sec,T,Seattle Public Schools (Security) - Schools Security,Security,Seattle Public Schools
549,225,Sea Schl N,T,Seattle Public Schools (Schools) - Schools N,Schools,Seattle Public Schools
551,227,Sea Schl S,T,Seattle Public Schools (Schools) - Schools S,Schools,Seattle Public Schools
553,229,Sea Schl SW,T,Seattle Public Schools (Schools) - Schools SW,Schools,Seattle Public Schools
577,241,Univ WA PD1,T,University Of Washington (Law Dispatch) - Police 1,Law Dispatch,University Of Washington
579,243,Univ WA PD tac,T,University Of Washington (Law Tac) - Police Tactical,Law Tac,University Of Washington
581,245,UW PD Admin,T,University Of Washington (Law Talk) - Administration,Law Talk,University Of Washington
1039,40f,Shor DPW,T,Shoreline (Public Works) - Public Works,Public Works,Shoreline
1079,437,Shor City,T,Shoreline (Interop) - Shoreline City,Interop,Shoreline
1111,457,Bell SchComn,T,Bellevue (Schools) - School - Common,Schools,Bellevue
1113,459,BotPd Invest,T,Bothell (Law Talk) - Police - Investigations,Law Talk,Bothell
1115,45b,BotPd Rec,T,Bothell (Law Talk) - Police - Records,Law Talk,Bothell
1121,461,Red Bld Insp,T,Redmond (Public Works) - Public Works - Building Inspectors,Public Works,Redmond
1135,46f,RedDPWDrain1,T,Redmond (Public Works) - Public Works - Drains 1,Public Works,Redmond
1143,477,RedDPWDrain2,T,Redmond (Public Works) - Public Works - Drains 2,Public Works,Redmond
1149,47d,Red PD Tac 2,T,Redmond (Law Tac) - Police Tactical 2,Law Tac,Redmond
1151,47f,Red PD Tac 1,T,Redmond (Law Tac) - Police Tactical 1,Law Tac,Redmond
1153,481,Red PD Admin,T,Redmond (Law Talk) - Police Administration,Law Talk,Redmond
1155,483,Red PD Inv,T,Redmond (Law Tac) - Police Investigations,Law Tac,Redmond
1157,485,Red PD Traff,T,Redmond (Law Tac) - Police - Traffic,Law Tac,Redmond
1159,487,Red PD Disp,T,Redmond (Law Dispatch) - Police Dispatch,Law Dispatch,Redmond
1161,489,Red FD Com,T,Redmond (Fire-Talk) - Fire Communications,Fire-Talk,Redmond
1163,48b,Red FD Prev,T,Redmond (Fire-Talk) - Fire - Prevention,Fire-Talk,Redmond
1171,493,MI F Admin,T,Mercer Island (Fire-Talk) - Fire Administration,Fire-Talk,Mercer Island
1183,49f,NC Pol 3,T,"NORCOM (Law Dispatch) - Police 3 (Mercer Island - Ida, Normandy Park - Nora, Bothell - Paul, Lake Forest Park - Lincoln",Law Dispatch,NORCOM
1187,4a3,LFPPD Tac,T,Lake Forest Park (Law Tac) - Police Tactical,Law Tac,Lake Forest Park
1207,4b7,NC CC 3,T,NORCOM (Law Talk) - Police Car to Car 3 (Future),Law Talk,NORCOM
1209,4b9,NC Tac 3,T,NORCOM (Law Tac) - Police Tactical 3,Law Tac,NORCOM
1213,4bd,NC CC 2,T,NORCOM (Law Talk) - Police Car to Car 2 (Kirkland / Mercer Island),Law Talk,NORCOM
1215,4bf,NC Tac 2,T,NORCOM (Law Tac) - Police Tactical 2,Law Tac,NORCOM
1217,4c1,NC Pol 2,T,NORCOM (Law Dispatch) - Police 2 (Kirkland),Law Dispatch,NORCOM
1219,4c3,KI Fire Admn,T,Kirkland (Fire-Talk) - Fire Department Administration,Fire-Talk,Kirkland
1221,4c5,Iss CityWide,T,Issaquah (Interop) - Citywide,Interop,Issaquah
1237,4d5,IPD Tac 2,T,Issaquah (Law Tac) - Police Tactical 2,Law Tac,Issaquah
1239,4d7,IPD Tac 1,T,Issaquah (Law Tac) - Police Tactical 1,Law Tac,Issaquah
1243,4db,Issaq/Snoq PD,T,Snoqualmie (Law Dispatch) - Issaquah/Snoqualmie PD Dispatch,Law Dispatch,Snoqualmie
1245,4dd,Shor FD Admn,T,Shoreline (Fire-Talk) - Fire - Administration,Fire-Talk,Shoreline
1247,4df,Woodnvl PW,T,Woodinville (Public Works) - Public Works,Public Works,Woodinville
1261,4ed,Bot Pd Tac,T,Bothell (Law Tac) - Police Tactical,Law Tac,Bothell
1263,4ef,Bot PD Disp,T,Bothell (Law Dispatch) - Police Dispatch,Law Dispatch,Bothell
1273,4f9,Bell Streets,T,Bellevue (Public Works) - Streets,Public Works,Bellevue
1275,4fb,Bell St Dsp,T,Bellevue (Public Works) - Streets - Dispatch,Public Works,Bellevue
1277,4fd,Bell Wtr Dsp,T,Bellevue (Public Works) - Water - Dispatch,Public Works,Bellevue
1281,501,Bell PW Code,T,Bellevue (Public Works) - Works - CODE,Public Works,Bellevue
1285,505,Bell PW Srvy,T,Bellevue (Public Works) - Works - Survey Crews,Public Works,Bellevue
1287,507,Bell ECS,T,Bellevue (Public Works) - Electronics Communications Service,Public Works,Bellevue
1289,509,Bell Trans,T,Bellevue (Transportation) - Transportation,Transportation,Bellevue
1307,51b,Bell CityW1,T,Bellevue (Interop) - Citywide 1,Interop,Bellevue
1317,525,NC Admin,T,NORCOM (Public Works) - Administrative - NORCOM Staff,Public Works,NORCOM
1319,527,NC Tac 15,T,NORCOM (Law Tac) - Police Tactical 15,Law Tac,NORCOM
1321,529,NC Tac 14,T,NORCOM (Law Tac) - Police Tactical 14,Law Tac,NORCOM
1323,52b,NC Tac 16,T,NORCOM (Law Tac) - Police Tactical 16,Law Tac,NORCOM
1325,52d,NC Tac 13,T,NORCOM (Law Tac) - Police Tactical 13,Law Tac,NORCOM
1327,52f,NC CC 1,T,NORCOM (Law Talk) - Police Car to Car 1 (Bellevue / Clyde Hill / Medina),Law Talk,NORCOM
1329,531,BPD Train,T,Bellevue (Law Talk) - Police - Training,Law Talk,Bellevue
1331,533,NC Tac 12,T,NORCOM (Law Tac) - Police Tactical 12,Law Tac,NORCOM
1333,535,NC Tac 11,T,NORCOM (Law Tac) - Police Tactical 11,Law Tac,NORCOM
1335,537,NC PD Data,D,NORCOM (Law Tac) - Police Data,Law Tac,NORCOM
1337,539,NC Tac 1,T,NORCOM (Law Tac) - Police Tactical 1,Law Tac,NORCOM
1339,53b,NC Pol 1,T,"NORCOM (Law Dispatch) - Police 1 (Bellevue, Clyde Hill, Medina)",Law Dispatch,NORCOM
1357,54d,NC PD Emer,T,NORCOM (Law Tac) - Police Emergency Button Talk Group,Law Tac,NORCOM
1361,551,ESPD Interop 4,T,King County (Law Tac) - Eastside Police Agencies Interoperation 4,Law Tac,King County
1363,553,ESPD Interop 3,T,King County (Law Tac) - Eastside Police Agencies Interoperation 3,Law Tac,King County
1365,555,ESPD Interop 2,T,King County (Law Tac) - Eastside Police Agencies Interoperation 2,Law Tac,King County
1367,557,ESPD Interop 1,T,King County (Law Tac) - Eastside Police Agencies Interoperation 1,Law Tac,King County
1369,559,ENTF1,T,East Side Agencies (Law Tac) - Eastside Narcotics Task Force 1,Law Tac,East Side Agencies
1377,561,FTAC 7,T,NORCOM (Fire-Tac) - Fire Tactical 7,Fire-Tac,NORCOM
1379,563,FTAC 6,T,NORCOM (Fire-Tac) - Fire Tactical 6,Fire-Tac,NORCOM
1381,565,FTAC 5,T,NORCOM (Fire-Tac) - Fire Tactical 5,Fire-Tac,NORCOM
1383,567,FTAC 4,T,NORCOM (Fire-Tac) - Fire Tactical 4,Fire-Tac,NORCOM
1385,569,FTAC 3,T,NORCOM (Fire-Tac) - Fire Tactical 3,Fire-Tac,NORCOM
1387,56b,FTAC 2,T,NORCOM (Fire-Tac) - Fire Tactical 2,Fire-Tac,NORCOM
1389,56d,FTAC 1,T,NORCOM (Fire-Tac) - Fire Tactical 1,Fire-Tac,NORCOM
1393,571,Norcom Amb,D,NORCOM (EMS Dispatch) - Norcom Ambulance,EMS Dispatch,NORCOM
1397,575,Fdisp 2,T,NORCOM (Fire Dispatch) - Trucks to Dispatch,Fire Dispatch,NORCOM
1399,577,FDisp 1,T,NORCOM (Fire Dispatch) - Fire Dispatch 1,Fire Dispatch,NORCOM
1401,579,Radio Shop 2,T,King County (Public Works) - Radio Shop 2,Public Works,King County
1409,581,KC RadioShop,T,King County (Public Works) - King County Radio Shop,Public Works,King County
1421,58d,KCEOC-Ops,T,King County (Emergency Ops) - Emergency Operations Center Operations,Emergency Ops,King County
1423,58f,KCEOC-Common,T,King County (Emergency Ops) - Emergency Operations Management Common,Emergency Ops,King County
1429,595,KC Emr Mgt1,T,King County (Emergency Ops) - Emergency Management Zone 1,Emergency Ops,King County
1431,597,KC Emr Mgt3,T,King County (Emergency Ops) - Emergency Management Zone 3,Emergency Ops,King County
1443,5a3,Court Sec 2,T,King County Sheriff (Security) - Court Security 2,Security,King County Sheriff
1445,5a5,Court Sec 1,T,King County Sheriff (Law Tac) - Court Security ,Law Tac,King County Sheriff
1447,5a7,KCSO North,T,King County Sheriff (Law Dispatch) - Dispatch North,Law Dispatch,King County Sheriff
1449,5a9,KCSO Tac 2,T,King County Sheriff (Law Tac) - Tactical 2,Law Tac,King County Sheriff
1451,5ab,KCSO SE,T,King County Sheriff (Law Dispatch) - Dispatch Southeast,Law Dispatch,King County Sheriff
1453,5ad,KCSO Tac 3,T,King County Sheriff (Law Tac) - Tactical 3,Law Tac,King County Sheriff
1455,5af,KCSO SW,T,King County Sheriff (Law Dispatch) - Dispatch Southwest,Law Dispatch,King County Sheriff
