Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1457,5b1,KCSO Tac 4,T,King County Sheriff (Law Tac) - Tactical 4,Law Tac,King County Sheriff
1459,5b3,KCSO NW,T,King County Sheriff (Law Dispatch) - Dispatch Northwest,Law Dispatch,King County Sheriff
1461,5b5,KCSO Tac 5,T,King County Sheriff (Law Tac) - Tactical 5,Law Tac,King County Sheriff
1463,5b7,KCSO Sp Ops,T,King County Sheriff (Law Tac) - Special Operations,Law Tac,King County Sheriff
1465,5b9,KCSO Tac 6,T,King County Sheriff (Law Tac) - Tactical 6,Law Tac,King County Sheriff
1467,5bb,KCSO Data,D,King County Sheriff (Law Tac) - KCSO DATA,Law Tac,King County Sheriff
1469,5bd,KCSO Tac 1,T,King County Sheriff (Law Tac) - Tactical 1,Law Tac,King County Sheriff
1471,5bf,KCSO Tac 7,T,King County Sheriff (Law Tac) - Tactical 7,Law Tac,King County Sheriff
1473,5c1,KCSO Tac 8,T,King County Sheriff (Law Tac) - Tactical 8,Law Tac,King County Sheriff
1475,5c3,KCSO Tac 9,T,King County Sheriff (Law Tac) - Tactical 9,Law Tac,King County Sheriff
1477,5c5,KCSO Tac 12,T,King County Sheriff (Law Tac) - Tactical 12,Law Tac,King County Sheriff
1479,5c7,KC Event 1,T,King County (Multi-Tac) - Event 1,Multi-Tac,King County
1483,5cb,KC Event 3 R,T,King County (Multi-Tac) - Event 3 Radio Shop,Multi-Tac,King County
1487,5cf,KC Event 5,T,King County (Multi-Tac) - Event 5,Multi-Tac,King County
1497,5d9,Metro PD Pri,T,Sound Transit (Law Dispatch) - Metro Transit Police - Primary,Law Dispatch,Sound Transit
1499,5db,Metro PD Tac,T,Sound Transit (Law Tac) - Metro Transit Police-  TAC,Law Tac,Sound Transit
1503,5df,Metro Trans F8,T,Sound Transit (Transportation) - Metro Transit F8,Transportation,Sound Transit
1513,5e9,Court Escort 1,T,King County (Security) - Court Escorts 1,Security,King County
1515,5eb,Court Escort 2,T,King County (Security) - Court Escorts 2,Security,King County
1517,5ed,KC Court 3,T,King County (Law Talk) - Court Escorts 3,Law Talk,King County
1519,5ef,AMR Dispatch,T,King County (EMS Dispatch) - AMR Dispatch,EMS Dispatch,King County
1525,5f5,Jail Ops 1,T,King County (Corrections) - Jail Operations 1,Corrections,King County
1527,5f7,Jail OPS 2,D,King County Sheriff (Corrections) - Jail OPS 2,Corrections,King County Sheriff
1529,5f9,Jail OPS 3,D,King County Sheriff (Corrections) - Jail OPS 3,Corrections,King County Sheriff
1557,615,SPD T-Mob Field,T,Seattle Police (Law Tac) - T-Mobile Field Operations,Law Tac,Seattle Police
1561,619,KCSO Tac 14,T,King County Sheriff (Law Tac) - Tactical 14,Law Tac,King County Sheriff
1589,635,KCSO Tac 10,T,King County Sheriff (Law Tac) - Tactical 10,Law Tac,King County Sheriff
1607,647,BFI Admin,T,King County (Public Works) - Boeing Field Airport Adminstration,Public Works,King County
1609,649,BFI Fire,T,King County (Fire Dispatch) - Boeing Field Airport Fire & Rescue,Fire Dispatch,King County
1663,67f,KCSO Tac 16,T,King County Sheriff (Law Tac) - Tactical 16,Law Tac,King County Sheriff
1677,68d,KC Waste 1,T,King County (Public Works) - Solid Waste Division 1,Public Works,King County
1681,691,KCPW Trtmnt1,T,King County (Public Works) - Waste Treatment 1,Public Works,King County
1689,699,Youth Services,T,King County (Other) - Youth Services,Other,King County
1693,69d,KCSO Tac 18,T,King County Sheriff (Law Tac) - Tactical 18,Law Tac,King County Sheriff
1709,6ad,KCSO Tac 30,T,King County Sheriff (Law Tac) - Tactical 30,Law Tac,King County Sheriff
1773,6ed,Snoq PD Tac1,T,Snoqualmie (Law Tac) - Police Tactical 1,Law Tac,Snoqualmie
1775,6ef,Snoq PD Tac2,T,Snoqualmie (Law Tac) - Police Tactical 2,Law Tac,Snoqualmie
1821,71d,FWPD Disp,T,Federal Way (Law Dispatch) - Police Dispatch,Law Dispatch,Federal Way
1823,71f,FWPD Tac,T,Federal Way (Law Tac) - Police Tactical,Law Tac,Federal Way
1825,721,FWPD 1825,T,Federal Way (Law Tac) - Federal Way Police 1825,Law Tac,Federal Way
1863,747,Encaw PD Disp,T,Enumclaw (Law Dispatch) - Police Dispatch,Law Dispatch,Enumclaw
1883,75b,KCSO Tac 20,T,King County Sheriff (Law Tac) - Tactical 20,Law Tac,King County Sheriff
1917,77d,ValleyCom Fire 5,T,Valley Communications (Fire-Tac) - Fire 5,Fire-Tac,Valley Communications
1919,77f,ValleyCom Fire 6,T,Valley Communications (Fire-Tac) - Fire 6,Fire-Tac,Valley Communications
1921,781,ValleyCom Fire 7,T,Valley Communications (Fire-Tac) - Fire 7,Fire-Tac,Valley Communications
1963,7ab,FTAC 8,T,NORCOM (Fire-Tac) - Fire Tactical 8,Fire-Tac,NORCOM
1965,7ad,FTAC 9,T,NORCOM (Fire-Tac) - Fire Tactical 9,Fire-Tac,NORCOM
1967,7af,FTAC 10,T,NORCOM (Fire-Tac) - Fire Tactical 10,Fire-Tac,NORCOM
1969,7b1,NORCOM Fire Trn,D,NORCOM (Fire-Tac) - Fire Training Ops,Fire-Tac,NORCOM
1991,7c7,ESFD Admin,T,King County (Fire-Talk) - Eastside Fire and Rescue Administration,Fire-Talk,King County
1993,7c9,Snoq FAdmin,T,Snoqualmie (Fire-Talk) - Fire Administration,Fire-Talk,Snoqualmie
2003,7d3,Encaw Fire Disp,D,Enumclaw (Fire Dispatch) - Fire Dispatch,Fire Dispatch,Enumclaw
2005,7d5,Encaw Fire TAC,D,Enumclaw (Fire-Tac) - Fire TAC/Responses,Fire-Tac,Enumclaw
2049,801,Duv CityWide,T,Duval (Interop) - Citywide,Interop,Duval
2101,835,Water Dist 20,T,King County (Public Works) - Water District 20,Public Works,King County
2103,837,Highline H20,T,King County (Public Works) - Highline Water District,Public Works,King County
2195,893,FWPS Sec Pri,T,Federal Way (Security) - Schools - Security,Security,Federal Way
2197,895,HL Schools,T,Highline (Schools) - Schools	Schools,Schools,Highline
2239,8bf,KCSO Tac 22,T,King County Sheriff (Law Tac) - Tactical 22,Law Tac,King County Sheriff
2303,8ff,Alg PD Tac 1,T,Algona-Pacific (Law Tac) - Police Tactical 1,Law Tac,Algona-Pacific
2305,901,Alg PD Tac 2,T,Algona-Pacific (Law Tac) - Police Tactical 2,Law Tac,Algona-Pacific
2307,903,Alg PD Admin,T,Algona-Pacific (Law Tac) - Police Administration,Law Tac,Algona-Pacific
2309,905,Aubur PD Pri,T,Auburn (Law Dispatch) - Police Primary,Law Dispatch,Auburn
2311,907,Aubur PD Tac,T,Auburn (Law Tac) - Police Tactical,Law Tac,Auburn
2313,909,Abur PD Admin,T,Auburn (Law Tac) - Police Administration,Law Tac,Auburn
2315,90b,Des PD Pri,T,Des Moines (Law Dispatch) - Police Primary,Law Dispatch,Des Moines
2317,90d,Des PD Tac,T,Des Moines (Law Tac) - Police Tactical,Law Tac,Des Moines
2319,90f,Des PD Admin,T,Des Moines (Law Talk) - Police Administration,Law Talk,Des Moines
2321,911,Kent PD Pri,T,Kent (Law Dispatch) - Police Primary,Law Dispatch,Kent
2323,913,Kent PD Tac,T,Kent (Law Tac) - Police Tactical,Law Tac,Kent
2325,915,Kent PD Admin,T,Kent (Law Tac) - Police Administration,Law Tac,Kent
2327,917,RetPD Pri,T,Renton (Law Dispatch) - Police Primary,Law Dispatch,Renton
2329,919,RetPD Tac,T,Renton (Law Tac) - Police Tactical,Law Tac,Renton
2331,91b,RetPD 2331,T,Renton (Law Tac) - Renton Police 2331,Law Tac,Renton
2333,91d,Tuk PD Pri,T,Tukwila (Law Dispatch) - Police Primary,Law Dispatch,Tukwila
2335,91f,Tuk PD Tac,T,Tukwila (Law Tac) - Police Tactical,Law Tac,Tukwila
2337,921,Tuk PD Admin,T,Tukwila (Law Tac) - Police Administration,Law Tac,Tukwila
2339,923,Police Data,D,Valley Communications (Law Tac) - Police Data,Law Tac,Valley Communications
2343,927,ValCom SpecOps 1,T,Valley Communications (Law Tac) - Police Special Operations 1,Law Tac,Valley Communications
2345,929,ValCom SpecOps 2,T,Valley Communications (Law Tac) - Police Special Operations 2,Law Tac,Valley Communications
2347,92b,ValCom SpecOps 3,T,Valley Communications (Law Tac) - Police Special Operations 3,Law Tac,Valley Communications
2349,92d,ValCom SpecOps 4,T,Valley Communications (Law Tac) - Police Special Operations 4,Law Tac,Valley Communications
2355,933,ValCom SpecOps 5,T,Valley Communications (Law Tac) - Police Special Operations 5,Law Tac,Valley Communications
2403,963,ValleyCom Fire 1,T,Valley Communications (Fire Dispatch) - Fire 1,Fire Dispatch,Valley Communications
2405,965,ValleyCom Fire 2,T,Valley Communications (Fire-Tac) - Fire 2 (EMS calls),Fire-Tac,Valley Communications
2407,967,ValleyCom Fire 3,T,"Valley Communications (Fire-Tac) - Fire 3 (Alarms, Accidents)",Fire-Tac,Valley Communications
2409,969,ValleyCom Fire 4,T,Valley Communications (Fire-Tac) - Fire 4 (Structure Fires),Fire-Tac,Valley Communications
2411,96b,Ops 1,T,Valley Communications (Fire-Tac) - ValleyCom Operations 1,Fire-Tac,Valley Communications
2413,96d,Fire 9,D,Valley Communications (Fire-Tac) - Fire 9,Fire-Tac,Valley Communications
2415,96f,Fire Trn Ops,D,Valley Communications (Fire-Tac) - Fire Training OPS,Fire-Tac,Valley Communications
2421,975,Tri-Med EMS,D,Valley Communications (EMS Dispatch) - Tri-Med Ambulance Dispatch,EMS Dispatch,Valley Communications
2449,991,KCFD44 Admin,T,King County (Fire-Talk) - Fire District 44 Administration,Fire-Talk,King County
2611,a33,SOS H20,T,King County (Public Works) - Soos Creek Water District,Public Works,King County
2613,a35,Water Dist 111,T,King County (Public Works) - Water District 111,Public Works,King County
2615,a37,Cedar Rvr H20,T,King County (Public Works) - Cedar River Water District,Public Works,King County
2617,a39,Covngt H20,T,King County (Public Works) - Covington Water District,Public Works,King County
2733,aad,Kent SchSec,T,Kent (Schools) - Kent Schools Security,Schools,Kent
2737,ab1,Kent SD Tra1,T,Kent (Schools) - Kent Schools Transportation 1,Schools,Kent
2739,ab3,Kent SD Tra2,T,Kent (Schools) - Kent Schools Transportation 2,Schools,Kent
2741,ab5,Kent SD Mat,T,Kent (Schools) - Kent Schools Maintenance,Schools,Kent
2801,af1,SPD AS NARC,T,Seattle Police (Law Talk) - Narcotics,Law Talk,Seattle Police
2803,af3,SPD DVICE1,T,Seattle Police (Law Talk) - Vice 1 - Digital,Law Talk,Seattle Police
2805,af5,SPD DVICE2,T,Seattle Police (Law Talk) - Vice 2- Digital,Law Talk,Seattle Police
2807,af7,SPD Enc 44912,TE,Seattle Police (Law Tac) - Encrypted,Law Tac,Seattle Police
2811,afb,SPD DTAC1,T,Seattle Police (Law Talk) - Tactical 1 - Digital,Law Talk,Seattle Police
2813,afd,SPD DTAC2,T,Seattle Police (Law Talk) - Tactical 2 - Digital,Law Talk,Seattle Police
2815,aff,SPD Enc 45040,TE,Seattle Police (Law Tac) - Encrypted,Law Tac,Seattle Police
2817,b01,SPD Enc 45072,TE,Seattle Police (Law Tac) - Encrypted,Law Tac,Seattle Police
2821,b05,SPD Enc 45136,TE,Seattle Police (Law Tac) - Encrypted,Law Tac,Seattle Police
3753,ea9,MLOPS1 SOUTH,D,Sound Transit (Transportation) - Mainline Operations OPS1 SOUTH,Transportation,Sound Transit
3754,eaa,MLOPS3 EAST,D,Sound Transit (Transportation) - Mainline Operations OPS3 EAST,Transportation,Sound Transit
3755,eab,MLOPS2 NORTH,D,Sound Transit (Transportation) - Mainline Operations OPS2 NORTH,Transportation,Sound Transit
3756,eac,MLOPS4 TEST TRAI,D,Sound Transit (Transportation) - Mainline Operations LOPS4 TEST TRAINS,Transportation,Sound Transit
3757,ead,DSTTOPS,D,Sound Transit (Transportation) - DSTTOPS,Transportation,Sound Transit
3759,eaf,ST YARDOPS1 OMFC,D,Sound Transit (Transportation) - ST YARDOPS1 OMF Central,Transportation,Sound Transit
3760,eb0,ST YARDOPS2 OMFE,D,Sound Transit (Transportation) -  ST YARDOPS2 OMF East,Transportation,Sound Transit
3761,eb1,ST FIBER MAINT S,D,Sound Transit (Transportation) - FIBER MAINT SIGNALS,Transportation,Sound Transit
3762,eb2,ST MNTNC,D,Sound Transit (Transportation) - ST MNTNC,Transportation,Sound Transit
3763,eb3,ST FACILITIES1,D,Sound Transit (Transportation) - ST FACILITIES1,Transportation,Sound Transit
3765,eb5,ST DSTTOPS FACIL,D,Sound Transit (Transportation) - Downtown Seattle Transit Tunnel OPS FACILITIES,Transportation,Sound Transit
3767,eb7,SND TRAN SEC,T,King County Metro Transit (Security) - Sound Transit Security,Security,King County Metro Transit
3769,eb9,Metro TunnelSec2,T,Sound Transit (Transportation) - Metro Transit TUNNEL SECURITY 2,Transportation,Sound Transit
3771,ebb,Metro TunnelSec1,T,Sound Transit (Transportation) - Metro Transit TUNNEL SECURITY 1,Transportation,Sound Transit
3777,ec1,Metro Security 1,T,Sound Transit (Transportation) - Metro Transit Security Ch 1,Transportation,Sound Transit
3779,ec3,Metro Transit PD,T,Sound Transit (Law Tac) - Metro Transit Sound Transit Police,Law Tac,Sound Transit
3803,edb,Multicare Aub MC,T,Hospital (Hospital) - Multicare Auburn Medical Center,Hospital,Hospital
3805,edd,SEA Childrens,T,Hospital (Hospital) - Seattle Children’s,Hospital,Hospital
3809,ee1,Evergreen Hosp,T,Hospital (Hospital) - Evergreen,Hospital,Hospital
3811,ee3,Unkn Hosp,D,Hospital (Hospital) - *UNKNOWN/TBD*,Hospital,Hospital
3815,ee7,UWMC Harborview,D,Hospital (Hospital) - Harborview Medical Center,Hospital,Hospital
3817,ee9,St Anne Hosp,T,Hospital (Hospital) - VHFM - St. Anne Hospital - Burien,Hospital,Hospital
3819,eeb,UWMC NW Hosp,T,Hospital (Hospital) - UWMC Northwest Hospital - Seattle,Hospital,Hospital
3821,eed,Overlake Hosp,T,Hospital (Hospital) - Overlake Hospital - Bellevue,Hospital,Hospital
3827,ef3,Snoq Valley Hosp,D,Hospital (Hospital) - Snoqualmie Valley Hospital ,Hospital,Hospital
3829,ef5,St Francis FedWa,D,Hospital (Hospital) - VMFH St. Francis Federal Way ,Hospital,Hospital
3831,ef7,Ballard Swed Hos,T,Hospital (Hospital) - Ballard Swedish,Hospital,Hospital
3833,ef9,Swed Seattle,D,Hospital (Hospital) - Swedish - Seattle,Hospital,Hospital
3835,efb,UW Med Cntr,T,Hospital (Hospital) - UW Medical Center,Hospital,Hospital
3837,efd,VA Seattle,D,Hospital (Hospital) - VA Seattle,Hospital,Hospital
3839,eff,Vly Med Ctr Rent,T,Hospital (Hospital) - Valley Medical Center Renton,Hospital,Hospital
3841,f01,VMFH - Seattle,T,Hospital (Hospital) - Virginia Mason Seattle,Hospital,Hospital
3855,f0f,Hosp Common,T,Hospital (Hospital) - Hospital Common,Hospital,Hospital
3857,f11,PS BlodCntrs,T,Businesses (Business) - Puget Sound Blood Centers,Business,Businesses
3873,f21,DPH OPS 3,T,King County (Other) - King County Dept Public Health,Other,King County
3875,f23,DPH OPS 2,T,King County (Other) - King County Dept Public Health,Other,King County
3877,f25,DPH OPS 1,T,King County (Other) - King County Dept Public Health,Other,King County
3879,f27,DPH COMMO,T,King County (Other) - King County Dept Public Health,Other,King County
3901,f3d,Interop 9,T,King County (Interop) - King County Interop 9,Interop,King County
3903,f3f,Interop 10,T,King County (Interop) - King County Interop 10,Interop,King County
3905,f41,Interop 12,T,King County (Interop) - King County Interop 12,Interop,King County
3907,f43,Interop 13,T,King County (Interop) - King County Interop 13,Interop,King County
3909,f45,Interop 15,T,King County (Interop) - King County Interop 15,Interop,King County
3913,f49,Interop 8,T,King County (Interop) - King County Interop 8,Interop,King County
3915,f4b,Emer Z1,T,NORCOM (Fire-Tac) - Fire Zone 1 Emergency Button Talk Group,Fire-Tac,NORCOM
3917,f4d,Interop 11,T,King County (Interop) - King County Interop 11,Interop,King County
3919,f4f,Emer Z3,T,Valley Communications (Fire-Tac) - Fire Zone 3 Emergency Button Talkgroup,Fire-Tac,Valley Communications
3921,f51,Interop 14,T,King County (Interop) - King County Interop 14,Interop,King County
3925,f55,PSAP to PSAP,T,King County (Interop) - Public Safety Answering Point Common,Interop,King County
3929,f59,L.E.R.N.,T,King County (Interop) - Law Enforcement Radio Network,Interop,King County
3931,f5b,M.A.R.S.,T,King County (Interop) - King County Mutual Aid Radio System,Interop,King County
3933,f5d,Interop 6,T,King County (Interop) - King County Interop 6,Interop,King County
3935,f5f,Interop 7,T,King County (Interop) - King County Interop 7,Interop,King County
3937,f61,Interop 4,T,King County (Interop) - King County Interop 4,Interop,King County
3939,f63,Interop 5,T,King County (Interop) - King County Interop 5,Interop,King County
3945,f69,KC All Gov,T,King County (Interop) - Interop All Local Government,Interop,King County
3969,f81,IMS-All,T,King County (Interop) - Incident Management System - All,Interop,King County
3971,f83,Interop 2,T,King County (Interop) - King County Interop 2,Interop,King County
3973,f85,Interop 3,T,King County (Interop) - King County Interop 3,Interop,King County
50001,c351,TECH 1,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50002,c352,TECH 2,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50003,c353,TECH 3,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50004,c354,TECH 4,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50005,c355,TECH 5,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50006,c356,TECH 6,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50007,c357,TECH 7,D,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50008,c358,TECH 8,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50009,c359,TECH 9,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
50010,c35a,TECH 10,T,Radio Technicians (Public Works) - Radio Techs (Voice Testing),Public Works,Radio Technicians
